"Award","Rider","Points"
"First","Geraint Thomas",10
"Second","Tom Dumoulin",6
"Third","Chris Froome",4
"Green jersey","Peter Sagan",3
"Polka dot jersey","Julian Alaphilippe",3
"White jersey","Pierre Latour",3
"Super combative","Daniel Martin",2
"Final stage winner","Alexander Kristoff",3
"Overall winning team","Movistar Team",3
"Lanten Rouge","Lawson Craddock",5
